"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2017/10",1,"Pimenta Bueno","Abscesso",62
"2018/10",1,"Castanheiras","Abscesso",1
"2018/10",1,"Cerejeiras","Abscesso",14
"2018/10",1,"Monte Negro","Abscesso",3
"2019/10",1,"Cabixi","Abscesso",14
"2019/10",1,"Pimenta Bueno","Abscesso",1
"2006/11",1,"Pimenta Bueno","Abscesso",38
"2006/11",1,"São Felipe d'Oeste","Abscesso",18
"2007/11",1,"Pimenta Bueno","Abscesso",124
"2008/11",1,"Presidente Médici","Abscesso",95
"2009/11",1,"Colorado do Oeste","Abscesso",1
"2009/11",1,"Rolim de Moura","Abscesso",554
"2010/11",1,"Cabixi","Abscesso",3
"2010/11",1,"Cerejeiras","Abscesso",1
"2010/11",1,"Pimenta Bueno","Abscesso",128
"2010/11",1,"São Felipe d'Oeste","Abscesso",1
"2011/11",1,"Chupinguaia","Abscesso",10
"2011/11",1,"Corumbiara","Abscesso",4
"2012/11",1,"Cacoal","Abscesso",110
"2013/11",1,"Pimenteiras do Oeste","Abscesso",1
"2016/11",1,"Campo Novo de Rondônia","Abscesso",1
"2017/11",1,"Ariquemes","Abscesso",2
"2017/11",1,"Chupinguaia","Abscesso",1
"2017/11",1,"Governador Jorge Teixeira","Abscesso",1
"2018/11",1,"Alto Paraíso","Abscesso",2
"2018/11",1,"Cacoal","Abscesso",19
"2018/11",1,"Cerejeiras","Abscesso",6
"2019/11",1,"Chupinguaia","Abscesso",13
"2006/12",1,"Espigão d'Oeste","Abscesso",354
"2007/12",1,"Chupinguaia","Abscesso",1
"2008/12",1,"Corumbiara","Abscesso",2
"2009/12",1,"Espigão d'Oeste","Abscesso",1479
"2009/12",1,"Ministro Andreazza","Abscesso",117
"2009/12",1,"Presidente Médici","Abscesso",1
"2010/12",1,"Corumbiara","Abscesso",3
"2010/12",1,"Ouro Preto do Oeste","Abscesso",4
"2010/12",1,"Rolim de Moura","Abscesso",697
"2011/12",1,"Espigão d'Oeste","Abscesso",426
"2011/12",1,"Rolim de Moura","Abscesso",156
"2012/12",1,"Cacoal","Abscesso",204
"2012/12",1,"Colorado do Oeste","Abscesso",2
"2012/12",1,"Espigão d'Oeste","Abscesso",46
"2013/12",1,"Chupinguaia","Abscesso",5
"2013/12",1,"Nova Mamoré","Abscesso",1
"2013/12",1,"Porto Velho","Abscesso",1
