"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2019/06",1,"Alto Paraíso","Adenite",8
"2019/06",1,"Buritis","Adenite",10
"2019/06",1,"Castanheiras","Adenite",1
"2019/06",1,"Novo Horizonte do Oeste","Adenite",1
"2019/06",1,"Primavera de Rondônia","Adenite",22
"2008/07",1,"Cujubim","Adenite",1
"2009/07",1,"Alta Floresta d'Oeste","Adenite",3
"2009/07",1,"Nova Brasilândia d'Oeste","Adenite",1
"2009/07",1,"Seringueiras","Adenite",1
"2010/07",1,"Cabixi","Adenite",4
"2010/07",1,"Governador Jorge Teixeira","Adenite",4
"2011/07",1,"Pimenteiras do Oeste","Adenite",1
"2012/07",1,"Alta Floresta d'Oeste","Adenite",2
"2012/07",1,"Vilhena","Adenite",8
"2013/07",1,"Colorado do Oeste","Adenite",15
"2013/07",1,"Santa Luzia d'Oeste","Adenite",19
"2014/07",1,"Alta Floresta d'Oeste","Adenite",1
"2014/07",1,"Corumbiara","Adenite",5
"2014/07",1,"Parecis","Adenite",2
"2015/07",1,"Chupinguaia","Adenite",17
"2018/07",1,"Cerejeiras","Adenite",5
"2018/07",1,"Chupinguaia","Adenite",49
"2018/07",1,"Corumbiara","Adenite",41
"2018/07",1,"Porto Velho","Adenite",1
"2019/07",1,"Cabixi","Adenite",11
"2019/07",1,"Espigão d'Oeste","Adenite",10
"2019/07",1,"Monte Negro","Adenite",1
"2019/07",1,"São Francisco do Guaporé","Adenite",1
"2019/07",1,"Vale do Paraíso","Adenite",1
"2003/08",1,"Chupinguaia","Adenite",1
"2003/08",1,"Porto Velho","Adenite",1
"2005/08",1,"Presidente Médici","Adenite",1
